HotelPMS,HotelPMS
Property,المنشأة
Property Name,اسم المنشأة
Property Kind,نوع المنشأة
Property Amenities (public),مرافق المنشأة (عامة)
Property FAQ,الأسئلة الشائعة للمنشأة
Property Photo,صورة المنشأة
Hotel Admin,مدير الفندق
Front Desk,الاستقبال
Housekeeping,التدبير الفندقي
Revenue Manager,مدير الإيرادات
Finance,المالية
HotelPMS Assistant,مساعد HotelPMS
Agent Action Log,سجل إجراءات الوكيل
AI Assistant Settings,إعدادات مساعد الذكاء الاصطناعي
Room Type,نوع الغرفة
Room,الغرفة
Rate Plan,خطة الأسعار
Guest,الضيف
Reservation,الحجز
Housekeeping Task,مهمة تدبير فندقي
Meal Plan,خطة الوجبات
Season,الموسم
Discount Voucher,قسيمة خصم
Company,الشركة
Group Booking,حجز مجموعة
Group Room Block,حجب غرف المجموعة
Folio,حساب الإقامة
Folio Charge,رسم على حساب الإقامة
Folio Payment,دفعة على حساب الإقامة
Night Audit Run,تشغيل التدقيق الليلي
Service Ticket,تذكرة خدمة
Lost And Found Item,غرض مفقود أو موجود
Shift Handover,تسليم الوردية
Laundry Order,طلب مغسلة
Laundry Order Item,صنف طلب المغسلة
Laundry Rate,سعر المغسلة
POS Outlet,منفذ بيع
POS Order,طلب نقطة بيع
POS Order Item,صنف طلب نقطة بيع
POS Table Reservation,حجز طاولة
Menu Item,صنف قائمة
Menu Item Ingredient,مكوّن صنف القائمة
Ingredient,مكوّن
Ingredient Stock,مخزون مكوّن
Stock Ledger Entry,حركة مخزون
Venue,قاعة / مكان فعالية
Venue Booking,حجز فعالية
Venue Amenity,مرفق القاعة
Venue Section,قسم القاعة
Banquet Menu,قائمة حفلات
Banquet Menu Course,مرحلة قائمة الحفل
Banquet Menu Dish,طبق قائمة الحفل
Banquet Dish,طبق حفلات
Banquet Service Item,خدمة حفلات
Banquet Function Item,بند فعالية
Banquet Open Item,بند فعالية مفتوح
Banquet Payment Term,شرط دفع فعالية
Banquet Quote Revision,مراجعة عرض سعر الفعالية
Banquet Receipt,إيصال فعالية
Banquet Selection,اختيار فعالية
Cancelled Invoice,فاتورة ملغاة
Cashier PIN,رمز أمين الصندوق
Channel Manager Connection,اتصال مدير القنوات
Channel Provider Connection,اتصال مزوّد القناة
Channel Room Mapping,ربط غرف القنوات
Company Billing Rule,قاعدة فوترة الشركة
Copilot Conversation,محادثة المساعد
Experience,تجربة
Hosting Enquiry,استفسار استضافة
Hurdle Rate,حد تسعير الطلب
MCP OAuth Client,عميل MCP OAuth
MCP OAuth Grant,صلاحية MCP OAuth
Payment Gateway Settings,إعدادات بوابة الدفع
Rate Guardrail,حدود الأسعار
Revenue Budget,موازنة الإيرادات
Room Block,حجب غرفة
Room Type Media,وسائط نوع الغرفة
Security Deposit,تأمين مالي
Sellable Unit,وحدة قابلة للبيع
